0,SceneCode,Type,Name,Origin,Korean
Japanese,"scene_cp3_q1_s10,311",detail,퓨리어스,この島……いや、この群島すべては、<br>じきに嵐の中に沈み、落ちていくんだ。<br>……暗い暗い空の底へとね。,"이 섬……아니、이 군도 모두、<br>곧 폭풍 속으로 가라앉아, 떨어지는거야.<br>……어둡고 어두운 하늘 저 바닥으로 말이지."
Japanese,"scene_cp3_q1_s20,312",synopsis,,<span>[플레이어]</span>一行は街に帰り着くが、この嵐では帝国を迎え撃つより先に近くの島へ避難すべきだと判断する。脱出艇の操縦には相当の腕前が必要とされる中、凄腕の操舵士と謳われたラカムへと期待が集まる。,<span>[플레이어]</span> 일행은 마을에 도착했지만、이 폭풍에선 제국을 격퇴하는 것보다 먼저 가까운 섬에 피난 하는 것이 낫겠다고 판단한다. 탈출정의 조종에 상당한 실력이 요구되는 가운데 엄청난 실력의 조타수라고 불렸던 라캄에게 기대가 모여든다.
Japanese,"scene_cp3_q1_s20,312",detail,,<span class='scene-font-katari'>[플레이어]達が、</span><br><span class='scene-font-katari'>ようやく戻った街は、</span><br><span class='scene-font-katari'>かつてない風雨に襲われていた。</span>,<span class='scene-font-katari'>[플레이어] 일행이、</span><br><span class='scene-font-katari'>겨우 돌아온 마을은、</span><br><span class='scene-font-katari'>전례없는 태풍비의 습격을 받고 있었다.</span>
Japanese,"scene_cp3_q1_s20,312",detail,라캄,なんなんだよこの雨……<br>いままでこんな嵐、<br>一度だってなかったぜ？,대체 뭐냐고 이 비……<br>지금까지 이런 폭풍、<br>한번도 없었다고？
Japanese,"scene_cp3_q1_s20,312",detail,셰로카르테,変ですよね～<br>さっきまでは晴れてたんですけどね～,이상하네요～<br>좀 전까지는 맑았는데 말이죠～
Japanese,"scene_cp3_q1_s20,312",detail,카타리나,この天候では、<br>帝国を迎え撃つなどという話を<br>している場合ではないな……,이 날씨에는、<br>제국을 격퇴하자는 이야기를<br>하고 있을 때가 아니군……
Japanese,"scene_cp3_q1_s20,312",detail,비,こんだけ酷い嵐なら、<br>帝国も動けねーだろ！<br>まずは避難することを考えねーと！,이렇게 심한 폭풍이면、<br>제국도 움직일 수 없겠지！<br>먼저 피난하는 걸 생각해보자구！
Japanese,"scene_cp3_q1_s20,312",detail,셰로카르테,そうですね～<br>避難用の騎空艇はありますから、<br>それに乗って近くの島へ……,그렇네요～<br>피난용 기공정은 있으니까、<br>거기 타서 가까운 섬으로……
Japanese,"scene_cp3_q1_s20,312",detail,마을사람1,……おい、それ、<br>誰が操縦するんだ？,……어이、저거、<br>누가 조종하는거야？
Japanese,"scene_cp3_q1_s20,312",detail,마을사람2,え？ だ、誰か……<br>あたしは無理よ？<br>こんな嵐の中じゃ……,응？ 누、누군가……<br>나한테는 무리라구？<br>이런 폭풍 속에선……
Japanese,"scene_cp3_q1_s20,312",detail,루리아,そういえば……<br>操舵士はみんな出払ってるって……,그러고보니……<br>조타수는 모두 자리에 없다고……
Japanese,"scene_cp3_q1_s20,312",detail,셰로카르테,そうですね～<br>特にもう、ここまで風が強いと、<br>並の操舵士じゃ、危ないです～,그렇네요～<br>거기에 음、이정도로 바람이 강하면、<br>평범한 조타수로는、위험해요～
Japanese,"scene_cp3_q1_s20,312",detail,셰로카르테,それこそ、<br>トップクラスの……<br>凄腕の操舵士じゃないと～,그야말로、<br>톱 클래스의……<br>엄청난 실력의 조타수가 아니라면～
Japanese,"scene_cp3_q1_s20,312",detail,마을사람1,…………,…………
Japanese,"scene_cp3_q1_s20,312",detail,루리아,…………,…………
Japanese,"scene_cp3_q1_s20,312",detail,라캄,な、なんだよ……？,뭐、뭐야……？
Japanese,"scene_cp3_q1_s20,312",detail,마을사람3,おい！ 大変だ！<br>嵐に紛れて<br>魔物が街のすぐ近くまで来てるぞ！,어이！ 큰일이야！<br>폭풍에 휩쓸려서<br>마물이 마을 코 앞까지 와있다고！
Japanese,"scene_cp3_q1_s20,312",detail,라캄,言いたいことがあるのはわかるが……<br>まずはこっちが先だ！,말하고 싶은게 있는 건 알겠는데……<br>일단은 이 녀석이 먼저다！
Japanese,"scene_cp3_q1_s20,312",detail,라캄,[플레이어]！<br>ちゃっちゃと片付けるぞ！,[플레이어]！<br>쓱싹 처리해버리자고！
Japanese,"scene_cp3_q2_s10,321",synopsis,,ラカムは過去の墜落を街の皆に語り、脱出艇の舵を握ることを拒む。しかし、街の住人達はそれでもラカムの腕を信じ、その思いに応えるべくラカムは覚悟を決める。,"라캄은 과거의 추락을 마을의 모두에게 이야기하고, 탈주정의 키를 잡는 것을 거부한다. 하지만, 마을 주민들은 그럼에도 라캄의 실력을 믿었고, 그 마음에 응하기 위해 라캄은 각오를 다진다."
Japanese,"scene_cp3_q2_s10,321",detail,라캄,――いいか？<br>確かに俺は[플레이어]と一緒に、<br>帝国と戦うとは言ったぜ？,――알겠어？<br>확실히 나는 [플레이어]와 일행에게、<br>제국과 싸우겠다고는 말했다고？
Japanese,"scene_cp3_q2_s10,321",detail,라캄,でもな、騎空艇を操縦するかどうかは、<br>それとはまた別の問題で……,그런데 말야、기공정을 조종할지 말지는、<br>그거랑은 다른 문제로……
Japanese,"scene_cp3_q2_s10,321",detail,카타리나,しかし、この状況ではもう、<br>私達も街の人も、<br>頼れるのは君だけなんだ……,그렇지만、이 상황에서는 역시、<br>우리들도 마을 사람들도、<br>믿을 수 있는 것은 자네 뿐이다……
Japanese,"scene_cp3_q2_s10,321",detail,셰로카르테,そうですよ～<br>汚名返上のチャンスですよ～？,그렇네요～<br>오명회복의 찬스라구요～？
Japanese,"scene_cp3_q2_s10,321",detail,라캄,あのなぁ……<br>俺は……俺はもう、<br>空に捨てられてんだぞ？,아니 그……<br>나는……나는 이미、<br>하늘에게 버려졌다고？
Japanese,"scene_cp3_q2_s10,321",detail,라캄,だから、<br>グランサイファーだって墜落した……<br>お前らは……怖くねぇのかよ？,그러니까、<br>그랑사이퍼라도 추락했다……<br>너희들은……무섭지않은거냐고？
Japanese,"scene_cp3_q2_s10,321",detail,루리아,怖い……？,무서워요……？
Japanese,"scene_cp3_q2_s10,321",detail,라캄,俺が操縦したら、<br>また艇が落ちるかもしれねぇ……<br>そうは考えねぇのか？,내가 조종하면、<br>다시 배가 떨어질 지도 모른다고……<br>그렇게 생각하지 않는거냐고？
Japanese,"scene_cp3_q2_s10,321",detail,라캄,グランサイファーに乗ってたとき、<br>俺は奇跡的に助かった。<br>……大怪我はしたけどな。,그랑사이퍼를 타고 있을 때、<br>나는 기적적으로 살 수 있었다.<br>……큰 부상을 입긴 했었지만.
Japanese,"scene_cp3_q2_s10,321",detail,라캄,けど今度は、<br>助からねぇかもしれねぇ……<br>それも、お前らを道連れにして……な。,그렇지만 이번엔、<br>살 수 없을지도 몰라……<br>그것도、너희들을 데리고서……말이지.
Japanese,"scene_cp3_q2_s10,321",detail,라캄,それでもお前らは、<br>俺が操縦する艇に乗るのが<br>怖くないって……,그럼에도 불구하고 너희들은、<br>내가 조종하는 배에 타는 것이<br>무섭지 않다니……
Japanese,"scene_cp3_q2_s10,321",detail,라캄,<span class='scene-font-4'>痛ってぇ！？</span>,<span class='scene-font-4'>아얏！？</span>
Japanese,"scene_cp3_q2_s10,321",detail,마을사람,<span class='scene-font-4'>馬鹿かお前は！</span><br>まだそんなこと言うなら、<br>もう一発殴ってやろうか！？,<span class='scene-font-4'>바보냐 너는！</span><br>한번만 더 그런 이야기를 하면、<br>한발 더 때 때려줄테다.
Japanese,"scene_cp3_q2_s10,321",detail,루리아,ラカムさん……よく見てください。<br>私達の、街の人の顔を……,라캄씨……잘 봐주세요.<br>저희들의、마을 사람들의 표정을……
Japanese,"scene_cp3_q2_s10,321",detail,루리아,誰も不安そうな顔なんて<br>してないじゃないですか。,그 누구도 불안한 듯한 표정을<br>하고 있지 않잖아요.
Japanese,"scene_cp3_q2_s10,321",detail,라캄,お前ら……,너희들……
Japanese,"scene_cp3_q2_s10,321",sel1_txt,,<span class='scene-font-katari'>脱出艇へ行こう</span>,<span class='scene-font-katari'>탈주정으로 가자</span>
Japanese,"scene_cp3_q2_s10,321",sel2_txt,,<span class='scene-font-katari'>まだ不安？</span>,<span class='scene-font-katari'>아직 불안해？</span>
Japanese,"scene_cp3_q2_s10,321",detail,라캄,そうだな……<br>みんなが腹くくってんだ……<br>俺が女々しくっちゃ話にならねぇよな！,그렇군……<br>모두가 각오를 다지고있어……<br>내가 쫄아있으면 말이 안되지！
Japanese,"scene_cp3_q2_s10,321",detail,라캄,いや……<br>ありがとよ、[플레이어]……,아니……<br>고맙다、[플레이어]……
Japanese,"scene_cp3_q2_s10,321",detail,라캄,俺だってなぁ……<br>てめぇらの期待に応えるくらいの<br>甲斐性はあらぁ！！,아무리 나라도 말야……<br>네 놈들의 기대에 부응할 정도의<br>융통성은 있다고！！
Japanese,"scene_cp3_q2_s10,321",detail,비,よっしゃ！<br>そんならすぐにみんなを連れて<br>脱出艇に向かおうぜ！,좋았어！<br>그럼 어서 모두를 데리고<br>탈주정으로 가자고！
Japanese,"scene_cp3_q2_s20,322",synopsis,,ラカムを加えた<span>[플레이어]</span>一行は、街の住人を連れて脱出艇へと向かう。その道中、ラカムはこの突然の嵐に疑問を持つ。,"라캄과 함께 <span>[플레이어]</span>일행은 마을 주민을 데리고 탈주정으로 향한다. 그 도중, 라캄은 이 급작스러운 폭풍에 의문을 품는다."
Japanese,"scene_cp3_q2_s20,322",detail,라캄,それにしても、変な嵐だな……,그렇다곤해도、이상한 폭풍이군……
Japanese,"scene_cp3_q2_s20,322",detail,카타리나,変とは……？<br>ラカム、この嵐に何か<br>思うところがあるのか？,이상하다니……？<br>라캄、이 폭풍에 뭔가<br>짚이는 데라도 있는지？
Japanese,"scene_cp3_q2_s20,322",detail,라캄,思うところも何も、<br>そもそもこの<span class='scene-font-place'>ポート・ブリーズ</span>で<br>嵐になること自体、珍しいんだよ。,짚이고 자시기고、<br>애초에 이 <span class='scene-font-place'>포트・브리즈</span>에서<br>폭풍이 오는 것 자체가、드물다고.
Japanese,"scene_cp3_q2_s20,322",detail,비,そういや、なんか言ってたよな！<br>この島には、<br>風の守り神がいるんだっけか？,그러고보면、그렇게 말했었지！<br>이 섬에는、<br>바람의 수호신이 있다던가？
Japanese,"scene_cp3_q2_s20,322",detail,라캄,ああ、そうさ……<br>この島に吹く風は全て、<br>ティアマトっつー守り神様の息吹なんだ。,응、그래……<br>이 섬에 부는 바람은 모두、<br>티아마트 라는 수호신의 숨결이야.
Japanese,"scene_cp3_q2_s20,322",detail,카타리나,守り神……おそらくは星晶獣か。<br>そのティアマトとやらに、<br>何かあったのかもしれないな。,수호신……어쩌면 성정수 일수도.<br>그 티아마트라는 것에、<br>무슨 일이 생긴걸지도 모르겠군.
Japanese,"scene_cp3_q2_s20,322",detail,라캄,何百年も前からの言い伝えだぜ？<br>ティアマトなんて<br>本当にいるかどうか……,수백년 전부터 전해지던 이야기었다고？<br>티아마트도<br>정말로 있을지 없을지……
Japanese,"scene_cp3_q2_s20,322",detail,루리아,います……いますよ、絶対に。<br>ティアマトは、この島に……<br>[플레이어]にも……わかりますか？,있어요……있어요、확실히.<br>티아마트는、이 섬에……<br>[플레이어]도……느껴지나요？
Japanese,"scene_cp3_q2_s20,322",detail,라캄,お、おい、嬢ちゃん？<br>どうしたんだよ、急に。,어、어이、아가씨？<br>어떻게 된거야、갑자기.
Japanese,"scene_cp3_q2_s20,322",detail,루리아,聞こえるんです……<br>それに感じる……<br>吹き荒ぶ風の、強大な星の力を……,들려와요……<br>그리고 느껴져요……<br>세차게 부는 바람의、강대한 별의 힘이……
Japanese,"scene_cp3_q3_s10,331",synopsis,,街の住人を連れ、<span>[플레이어]</span>一行は嵐から逃れるための脱出艇がある洞窟へと急ぐ。しかし、洞窟には、まるでこの状況を先読みしていたかのように、フュリアス率いる帝国軍が待ち構えていた。,마을 주민을 데리고、<span>[플레이어]</span>일행은 폭풍에서 벗어나기 위해 탈주정이 있는 동굴로 서두른다. 하지만、동굴에는、마치 이 상태를 예지한 것처럼、퓰리어스가 이끄는 제국군이 기다리고 있었다.
Japanese,"scene_cp3_q3_s10,331",detail,,<span class='scene-font-katari'>徐々に強くなる嵐の中、</span><br><span class='scene-font-katari'>街の住人を連れた一同は、</span><br><span class='scene-font-katari'>脱出艇のある渓谷へと辿り着いた。</span>,<span class='scene-font-katari'>계속헤서 강해지는 폭풍 속에서、</span><br><span class='scene-font-katari'>마을 주민과 함께 이동하던 일동은、</span><br><span class='scene-font-katari'>탈주정이 있는 골짜기에 도착했다.</span>
Japanese,"scene_cp3_q3_s10,331",detail,비,こいつが脱出艇だな！,이녀석이 탈주정인가！
Japanese,"scene_cp3_q3_s10,331",detail,루리아,これなら、<br>街の人もみんな乗れそうですね！,이거라면、<br>마을 사람들 모두가 탈 수 있겟어요！
Japanese,"scene_cp3_q3_s10,331",detail,카타리나,さぁ、ラカム、操舵室へ……,자아、라캄、조타실로……
Japanese,"scene_cp3_q3_s10,331",detail,라캄,あ、ああ……,응、그래……
Japanese,"scene_cp3_q3_s10,331",detail,비,ん？ どうしたんだよ？<br>なんで乗らねーんだ？<br>ラカムが乗らないと始まらねーぜ？,응？ 왜 그래？<br>왜 안타고있어？<br>라캄이 타야 다른 사람도 타지？
Japanese,"scene_cp3_q3_s10,331",detail,라캄,い、いや……<br>それは、わかってんだけどよ……,아、아니……<br>그건、알고있는데……
Japanese,"scene_cp3_q3_s10,331",detail,라캄,その……<br>や、やっぱり俺……,그……<br>여、역시 나는……
Japanese,"scene_cp3_q3_s10,331",detail,퓨리어스,――ったくさぁ！<br>乗るなら乗るで、<br>ちゃっちゃとやれよな！,――아 정말！<br>탈려면 타고、<br>말라면 말라고！
Japanese,"scene_cp3_q3_s10,331",detail,라캄,お前……確かに俺が撃ったはずだぜ？<br>なんでそんなにピンピンしてんだよ！？,네 녀석……분명 내가 쐈을텐데？<br>어째서 그렇게 팔팔한거지！？
Japanese,"scene_cp3_q3_s10,331",detail,퓨리어스,当たり前だろ？<br>高貴なボクが下賤なお前らの弾丸で<br>傷一つでも負うと思ってんの？,뭐가 신기하지？<br>고귀한 내가 미천한 너희들의 총알로<br>상처 하나라도 입을거라고 생각했어？
Japanese,"scene_cp3_q3_s10,331",detail,루리아,カタリナ……<br>あの人……なんだか変な感じがする。<br>怖いよ……,카타리나……<br>저 사람……뭔가 이상한 느낌이 들어.<br>무서워……
Japanese,"scene_cp3_q3_s10,331",detail,카타리나,大丈夫だ、ルリア。<br>何も心配することはない……,괜찮다、루리아.<br>걱정할 거 없어……
Japanese,"scene_cp3_q3_s10,331",detail,마을사람,ひぃっ！？<br>へ、兵隊が……！！,히익！？<br>벼、병사가……！！
Japanese,"scene_cp3_q3_s10,331",detail,비,とにかく街の人を守らねぇと！<br>[플레이어]！<br>帝国の連中を追っ払うぞ！,어쨌든 마을 사람들을 지키자고！<br>[플레이어]！<br>제국녀석들을 물리치자！
Japanese,"scene_cp3_q3_s20,332",synopsis,,街人を帝国兵から守る<span>[플레이어]</span>一行だが、徐々にその数の差に圧倒され始める。そんな中、住人達の頼みであった脱出艇が突如爆発する。,주민을 제국병으로부터 지키는 <span>[플레이어]</span> 일행이었지만、계속해서 그 수의 차이에 압도되기 시작한다. 그런 도중、주민들의 희망이었던 탈주정이 갑자기 폭발한다.
Japanese,"scene_cp3_q3_s20,332",detail,카타리나,ある程度は退かせたが、<br>これではキリがないな……,어느정도는 쓰러뜨렸지만、<br>이래서는 끝이 없겠군……
Japanese,"scene_cp3_q3_s20,332",detail,퓨리어스,いいねぇ……<br>ねぇねぇねぇ、疲れた？ 限界？,좋아……<br>응?응?응? 이제 지쳤어？ 한계야？
Japanese,"scene_cp3_q3_s20,332",detail,퓨리어스,でもね……<br>メインディッシュは、<br>まだこれからなんだ。,그래도말야……<br>메인 디시는、<br>이제부터야.
Japanese,"scene_cp3_q3_s20,332",detail,마을사람,こ、こんな奴ら付き合いきれねぇ！<br>脱出艇に乗って逃げようぜ！,이、이련 녀석들이랑 어울려줄 수는 없어！<br>탈주정에 타고 도망가자고！
Japanese,"scene_cp3_q3_s20,332",detail,루리아,<span class='scene-font-4'>……！？ 危ないっ！！</span>,<span class='scene-font-4'>……！？ 위험해요！！</span>
Japanese,"scene_cp3_q3_s20,332",detail,카타리나,な、なんだ！？<br>脱出艇が爆発したのか！？,뭐、뭐야！？<br>탈주정이 폭발한건가！？
Japanese,"scene_cp3_q3_s20,332",detail,루리아,だ、大丈夫ですか！？,괘、괜찮으신가요！？
Japanese,"scene_cp3_q3_s20,332",detail,마을사람,う、うう……いったい何が……？,으、으윽……대체 무슨 일이……？
Japanese,"scene_cp3_q3_s20,332",detail,퓨리어스,ぎゃはははははは！！<br>いいねぇ！ その顔、サイッコー！！<br>その信じらんないって顔！ くくく……,갸하하하하하하！！<br>좋아！ 그 얼굴、최ー고！！<br>그 믿을 수 없다는 얼굴！ 크크크……
Japanese,"scene_cp3_q3_s20,332",detail,퓨리어스,そうだよ、爆破したんだよ！<br>てめぇらが頼みにしていた脱出艇をな！<br>木端微塵だ！ ぎゃははははは！！,그래、폭발시켰다고！<br>네 놈들이 믿고 있던 탈주정을 말야！<br>산산조각으로！ 갸하하하하하！！
Japanese,"scene_cp3_q3_s20,332",detail,라캄,てめぇ……！！<br>なんでこんなことを！？,이자식……！！<br>어째서 그런 일을！？
Japanese,"scene_cp3_q3_s20,332",detail,퓨리어스,知りたい？ 知りたいよね？<br>そうだなぁ……<br>生き残ってたら教えてあげるよ。,알고싶어？ 알고싶지？<br>그럼……<br>살아남을 수 있으면 알려줄게.
Japanese,"scene_cp3_q3_s20,332",detail,퓨리어스,だから、まぁ、せいぜい頑張れば？,그러니까、뭐어、부디 힘내줘？
Japanese,"scene_cp3_q3_s20,332",detail,카타리나,外道が……！！<br>[플레이어]！ 止めてくれるなよ……,악독한 놈이……！！<br>[플레이어]！ 날 막지마라……
Japanese,"scene_cp3_q3_s20,332",detail,카타리나,奴の手の者など……<br>この私が叩き切ってくれる！！,녀석의 부하는……<br>내가 직접 날려버리겠어！！
Japanese,"scene_cp3_q4_s10,341",synopsis,,フュリアスの手によって脱出艇が破壊され、街の住人と共に絶体絶命の状況へと追い込まれる<span>[플레이어]</span>一行。そんな中、嵐の原因は星晶獣ティアマトであることを知る。,퓰리어스의 손에 의해 탈주정이 폭발하고、마을 주민과 함께 절체절명의 상태에 몰린 <span>[플레이어]</span> 일행。그런 도중、폭풍의 원인은 성정수 티아마트였다는걸 알게된다.
Japanese,"scene_cp3_q4_s10,341",detail,퓨리어스,――やるねぇ！<br>うんうん、やっぱり君達って、<br>見所があるなぁ。,――제법이네！<br>응응、역시 너희들、<br>장래성이 있네.
Japanese,"scene_cp3_q4_s10,341",detail,라캄,黙れ！ 今度はてめぇの番だぞ！,닥쳐라！ 이번엔 네 차례라고！
Japanese,"scene_cp3_q4_s10,341",detail,라캄,嵐がこれ以上強くなる前に、<br>街のみんなをどこかに、<br>避難させねぇと……,폭풍이 이 이상 강해지기 전에、<br>마을 모두를 어딘가에、<br>피난시켜야……
Japanese,"scene_cp3_q4_s10,341",detail,퓨리어스,ぎゃはははは！！<br>まぁだそんなこと言ってんのかよ！？,갸하하하하！！<br>아직도 그런 이야기를 하는거야！？
Japanese,"scene_cp3_q4_s10,341",detail,퓨리어스,どこへ逃げようったって同じなんだよ！<br>どうせこの群島は、<br>全部丸ごと沈んじまうんだからなぁ！！,어디로 도망치는 마찬가지라고！<br>어차피 이 군도는、<br>전부 통째로 가라앉을거니까 말야！！
Japanese,"scene_cp3_q4_s10,341",detail,카타리나,貴様……どういうことだ！？,이자식……무슨 말이냐！？
Japanese,"scene_cp3_q4_s10,341",detail,퓨리어스,わかってんだろ？ 薄々さぁ！<br>ティアマトだよ、ティアマト！！<br>この島の守り神サマさ！,알고있잖아？ 어렴풋이 말야！<br>티아마트라고、티아마트！！<br>이 섬의 수호신말야！
Japanese,"scene_cp3_q4_s10,341",detail,퓨리어스,そいつにね……<br>ちょっと細工させてもらったんだ。<br>……大暴走を始めるようにさぁ！！,그녀석을 말이지……<br>약간 손봐달라고 했어.<br>……대폭주를 시작하도록 말이지！！
Japanese,"scene_cp3_q4_s10,341",detail,비,ティアマトを暴走させただと！？<br>この野郎、なんてことを……！,티아마트를 폭주시켰다고！？<br>이 자식、대체 무슨 일을……！
Japanese,"scene_cp3_q4_s10,341",detail,퓨리어스,この嵐が何よりの証拠だ！<br>嵐は際限なく強くなるよ……<br>この群島を吹き飛ばすほどにな！！,이 폭풍이 무엇보다도 그 증거다！<br>폭풍은 끝없이 강해질거야……<br>이 군도를 날려버릴 정도로 말이지！！
Japanese,"scene_cp3_q4_s10,341",detail,라캄,てめぇ……<br>街どころか、この群島そのものを<br>滅ぼそうってのか！？,이자식……<br>마을 정도가 아니라、이 군도 자체를<br>없애려고 하는건가！？
Japanese,"scene_cp3_q4_s10,341",detail,라캄,いったいどれだけの人が<br>犠牲になると思ってんだ！！,대체 얼마나 많은 사람이<br>희생될거라고 생각하는거냐！！
Japanese,"scene_cp3_q4_s10,341",detail,퓨리어스,さぁ？ 知らないよ、そんなの。<br>ボクら帝国に支配されたくないほど、<br>アンタ達はこの群島が好きなんだろ？,글쎄？ 몰라、그런거.<br>우리들 제국의 지배를 받고 싶고 싶지 않을정도로、<br>너희들은 이 섬을 좋아하잖아？
Japanese,"scene_cp3_q4_s10,341",detail,퓨리어스,だったら、<br>せいぜい心中でもしてろよ！！<br>空の底に落ちるこの群島とさぁ！！,그럼、<br>차라리 같이 죽으라고！！<br>하늘 바닥까지 떨어질 이 섬과 함께 말야！！
Japanese,"scene_cp3_q4_s10,341",detail,마을사람1,なんてことだ……,대체 무슨 일이……
Japanese,"scene_cp3_q4_s10,341",detail,마을사람2,そんな……私達もう助からないの？,이럴수가……우리들 이제 살 수 없는거야？
Japanese,"scene_cp3_q4_s10,341",detail,퓨리어스,そうそう……それとね？<br>この群島から逃げようとする騎空艇は、<br>みんなまとめて撃ち落とすから。,그래그래……그리고 말야？<br>이 군도에서 도망치려고 한 기공정들은、<br>모두 합쳐서 격추시킬꺼니까.
Japanese,"scene_cp3_q4_s10,341",detail,퓨리어스,わかるよね？ ね？<br>つまり、お前らにはもう、<br>逃げ場なんてどこにもねぇんだよ！！,이해하지？ 응？<br>즉、너희들한테는 이제、<br>도망갈 데가 없다고！！
Japanese,"scene_cp3_q4_s10,341",detail,라캄,<span class='scene-font-4'>ふざけんなよ！！</span><br>てめぇら、この街の住人を<br>何だと思ってやがる！？,<span class='scene-font-4'>웃기지마！！</span><br>네 놈들、이 마을의 주민을<br>뭐라고 생각하는거냐！？
Japanese,"scene_cp3_q4_s10,341",detail,카타리나,[플레이어]！<br>とりあえず、屋外のここは危険だ！<br>住人達を、一度街に戻そう！,[플레이어]！<br>우선、밖인 이곳은 위험하다！<br>주민들을、일단 마을로 돌려보내자！
Japanese,"scene_cp3_q4_s10,341",detail,카타리나,その間、魔物や帝国の兵士は、<br>こちらで相手をせねばな……いくぞ！,그 동안、마물이나 제국 병사는、<br>여기서 상대해야겠지……가자！
Japanese,"scene_cp3_q4_s20,342",synopsis,,帝国兵をなんとか撒くが、<span>[플레이어]</span>一行には暗い雰囲気が漂い始める。しかし、ルリアは決して希望を捨てはしなかった。,제국병을 어떻게든 따돌렸지만、<span>[플레이어]</span> 일행에게 어두운 분위기가 감돌기 시작한다. 하지만、루리아는 결코 희망을 잃지 않았다.
Japanese,"scene_cp3_q4_s20,342",detail,루리아,もう帝国の人達は、<br>追ってきていないみたいです……,이제 제국 사람들은、<br>따라오지 않는거 같아요……
Japanese,"scene_cp3_q4_s20,342",detail,비,そりゃそうだろうぜ……<br>あとは放っておいても、<br>この島に居る奴はみんな……,거야 그렇겠지……<br>이제 놓아줘도、<br>이 섬에 있는 녀석은 모두……
Japanese,"scene_cp3_q4_s20,342",detail,카타리나,ビィくん、それ以上は言うな。<br>まだ私達は、<br>諦めるわけにはいかないのだからな……,비군、그 이상은 말하지마라.<br>아직 우리들은、<br>포기할 수는 없으니까……
Japanese,"scene_cp3_q4_s20,342",detail,카타리나,必ず何か、手はあるはずだ……<br>何か、必ず……,반드시 무언가、방법이 있을거다……<br>무언가、반드시……
Japanese,"scene_cp3_q4_s20,342",detail,루리아,ティアマト……<br><span class='scene-font-place'>ポート・ブリーズ</span>の守り神であり、<br>風の……大星晶獣。,티아마트……<br><span class='scene-font-place'>포트・브리즈</span>의 수호신이자、<br>바람의……대성정수.
Japanese,"scene_cp3_q4_s20,342",detail,비,いまは悩んでる場合じゃねぇ……か。<br>早く先に進まねーとな！,지금은 고민하고 있을 때가 아닌……가.<br>어서 앞으로 나아가자고！
Japanese,"scene_cp3_q4_s30,343",synopsis,,嵐の原因が星晶獣であるからこそ、なんとかできるかもしれない、と告げるルリア。ルリアの決意に一筋の希望の光が差し込む。,폭풍의 원인이 성정수였기 때문에、무언가 할 수 있을지도 모른다、라고 말하는 루리아. 루리아의 결의에 한줄기 희망이 비춘다.
