jp,kr
全ての生命の源流、大地の力を感じる厳かな土,"모든 생명의 원류, 대지의 힘이 느껴지는 엄숙한 흙"
渦琥珀,소용돌이 호박
渦巻状の模様が入った不思議な琥珀,소용돌이 모양이 들어간 기이한 호박
鷹の羽,매의 깃털
独特の手触りがあり、鋼のように丈夫な羽,"독특한 감촉이 느껴지는, 강철처럼 튼튼한 깃털"
厳峰の清水,엄봉의 맑은 물
アルビオンの名水で、あらゆる病に効能があると言われている,"알비온의 이름난 물로, 모든 병에 효능이 있다고 알려져있다"
紅黄石,홍황석
黄金のように堅く、秘められた魔力により微かに赤く光る不思議な石,"황금처럼 단단하고, 숨겨진 마력에 의해 희미하게 붉게 빛나는 이상한 돌"
粘っこい茸,끈적한 버섯
奇抜な色合いと粘りの強い手触りをしており、幻の珍味と謳われている,"기발한 색조와 끈적임이 강한 감촉으로, 환상의 진미라 구가되고 있다"
虚ろなる魄,텅 빈 영혼
濃い霧に包まれた湿地に密かに現れる行き場を失った魂の残滓,진한 안개에 감싸인 습지에서 남몰래 나타나는 갈 곳 잃은 영혼의 잔재
ラクリモサ,라크리모사
一切光が届かない深い闇でのみ生息が確認されている希少な花,전혀 빛이 닿지 않는 깊은 어둠속에서만 서식이 확인되고 있는 희귀한 꽃
黄金小麦,황금밀
金色に輝くガロンゾ産の小麦、ビールにすると絶品の物ができると言われている,"금빛으로 빛나는 가론조 산(産) 밀, 맥주로 만들면 훌륭한 맛을 낸다고한다."
鉄鉱石,철광석
騎空艇の材料にも使われる固い石,기공정의 재료로도 쓰이는 단단한 돌
ブロヴンフラクト,브로븐프락트
災難から身を護るお守りとして知られる希少な植物,재난으로부터 몸을 지키는 부적으로 알려진 희소한 식물
青い果実,푸른열매
アマルティア島全域に分布する、見た目に反して美味しい果実,"아말티아섬 전역에 분포하는, 겉보기와 다르게 맛있는 과실"
予見の双葉,예견의 떡잎
なにか事件が起きる際に発芽することから名づけられた植物,어떤 사건이 일어날 때 발아하기 때문에 이름 붙여진 식물
オルディネシュタイン,오르디네슈타인
困難を乗り越える力を持つと伝えられている、紅緋色の石,"곤란을 넘을 힘을 가지고 있다고 전해지는, 홍비색 돌"
砂レンガ,모래벽돌
メフォラシュで作られる建物を作るためのレンガ,메포라슈로 만들어지는 건물을 만들기 위한 벽돌
古代樹の葉,고대수의 잎
万病に効くとされる古代樹の葉,만병에 통한다고 여겨지는 고대수의 잎
古代布,고대포
古代から伝わる製法で作られた通気性の高い布<br>現在は希少性が高い,고대로부터 전해지는 제조법으로 만들어진 환기성 높은 옷감<br>현재는 희소성이 높다
栄華の炎,영화의 불꽃
エルステ帝国の繁栄とともに燃え上がる不思議な炎,에르스테 제국의 번영과 함께 불타오르는 신비한 불길
赤色火薬の原料,적색화약의 원료
緻密な分子構造により膨大な熱量が含まれており、赤く色づいているきめ細やかな火薬の原料,"치밀한 분자 구조에 의해 방대한 열량이 포함되어 있으며, 붉게 물들은 섬세한 화약의 원료"
リキッド・スチール,리퀴드 스틸
複雑な形状の施設や兵器の材料として欠かせない鉛の塊,복잡한 구조의 시설이나 병기의 재료로 빠지지 않는 납 덩어리
ダイダロイトストーン,다이다로이트 스톤
ダイダロイトベルトの岩の欠片<br>不思議な力で岩に引き寄せられている,다이다로이트 벨트의 바위조각<br>신기한 힘으로 바위에 이끌리고 있다
クガンノハナ,쿠간노하나
空高くの岩石地に群生する美しい花,높은 하늘의 암석지에 군생하는 아름다운 꽃
大縁の種,대연의 씨앗
芽を出すとき、どこかで強い絆が<br>生まれると言われる珍しい花の種,"싹이 틀 때, 어딘가에서 강한 인연이<br>태어난다고 여겨지는 희귀한 꽃의 씨앗"
万年雪,만년설
ノース・ヴァストに一年中降り続ける大粒の雪。,노스 바스트에 일년 내내 내리는 굵은 눈
冷氷の葉,냉빙의 잎
緑の育たない過酷な環境でのみ生まれる氷状の葉。,초목이 자라지 않는 가혹한 환경에서만 태어나는 얼음 모양의 나뭇잎
氷傘茸,빙산용
環境に適応し氷の傘をかぶった茸。触れると壊れてしまうほど脆い。,"환경에 적응해 얼음의 갓을 쓴 버섯, 건드리면 부숴져버릴 정도로 무르다"
メルクマベリー,메르크마 베리
要塞ができる前から植生している樹になる実。,요새가 생기기 전부터 자생하고 있었던 나무에서 열리는 열매
要塞の壁片,요새 벽의 조각
島の要塞を構築する壁や瓦礫の一部がはがれ落ちた物。,섬의 요새를 구축하는 벽이나 잔해의 일부가 떨어져 나온 것
錆びた薬莢,녹슨 탄피
メルクマール島での過去の戦いで使用され、放置されたままの薬莢。,메르크마르섬의 과거의 전투에서 사용되었고 방치된 탄피
騒乱の三つ葉,소란의 세잎
グロース島全域に分布する植物。三方に伸びる葉はすれ違いや鼎立を表すと言われている。,그로스섬 전역에 분포하는 식물. 세방향으로 자라는 잎은 엇갈림이나 정립을 표현한다고 여겨진다.
バシの実,바시의 열매
グロース島の草原に植生するバシの木の果実。食用だけではなく薬用としても用いられるなど、島の必需品。,그로스섬의 초원에 식생하는 바시 나무의 과실. 식용 뿐만 아니라 약용으로도 쓰인다. 섬의 필수품.
天然翡翠,천연비취
グロース島で多く採石される翡翠。島に住む富裕層向けの装飾などに広く用いられている。,그로스섬에서 많이 채석되는 비취. 섬에 사는 부유층 전용의 장식품으로 널리 사용되고 있다.
灰白砂岩,회백사암
灰白色の石材。クルーガー島の寺院の建設にも使われている。,회백색 석재. 크루가섬의 사원 건설에도 사용되었다.
クルーガーハーブ,크루가 허브
クルーガー島に自生する植物の葉を乾燥させたもの。煎じて飲むと集中力を高める薬効がある。,크루가섬에 자생하는 식물의 잎을 건조시킨 것. 달여 마시면 집중력을 높이는 악효가 있다
修行者の覚書,수행자의 각서
クルーガー島でよく見かける古の修行者たちの覚書。経典の一部や、煩悩を綴ったものまで内容は様々である。,"크루가섬에서 자주 보이는 오랜 수행자들의 각서. 경전의 일부나, 번뇌를 쓴 것 등 여러 내용이있다."
ベスティエフルーツ,베스티에 후르츠
ベスティエ島のいたるところに植生する果実。それほどおいしくはないが薬用効果が高い。,베스티에섬의 도처에 식생하는 과실. 그다지 맛있지는 않지만 약제로서 효과가 높다.
トキシックフラワー,톡식 플라워
ベスティエ島の各所に咲く鮮やかな紫紺色の花。花の蜜には強い毒性があり、獣達も近づかない。,"베스티에섬의 각처에 피는 선명한 자감색의 꽃. 꽃의 꿀에는 강한 독성이 있어, 짐승들도 다가가지 않는다."
レム・ペッパー,렘 페퍼
レム王国郊外の森で採れる木の実。乾燥させることで辛味が増し、香辛料として用いられる。,"렘 왕국 교외의 숲에서 채취되는 나무열매. 건조시키면 매운 맛이 늘어나, 향신료로 이용된다."
クロッシング・レイ,크로싱 레이
赤と青の2対の光。異なるエネルギーを起源としており、決して交わる事はない。,"붉은색과 푸른색의 2개의 빛. 다른 에너지를 기원으로 하며, 결코 섞이지 않는다."


!성정수
ティアマトのアニマ,티아마트의 아니마
ティアマトの力の結晶,티아마트의 힘이 담긴 결정
ティアマトのマグナアニマ,티아마트의 마그나 아니마
ティアマトの真の力の結晶,티아마트의 진정한 힘이 담긴 결정
嵐竜の琥珀眼,폭풍룡의 호박눈
嵐竜の頭からくり抜いた目玉,폭풍룡의 머리에서 도려낸 눈
コロッサスのアニマ,콜로서스의 아니마
コロッサスの力の結晶,콜로서스의 힘이 담긴 결정
コロッサスのマグナアニマ,콜로서스의 마그나 아니마
コロッサスの真の力の結晶,콜로서스의 진정한 힘이 담긴 결정
プロミネンスリアクター,프로미넌스 리액터
コロッサス・マグナの胸部に埋め込まれている高出力のリアクター,콜로서스 마그나의 흉부에 박혀있는 고출력 리액터
リヴァイアサンのアニマ,리바이어선의 아니마
リヴァイアサンの力の結晶,리바이어선의 힘이 담긴 결정
リヴァイアサンのマグナアニマ,리바이어선의 마그나 아니마
リヴァイアサンの真の力の結晶,리바이어선의 진정한 힘이 담긴 결정
海神の扇尾,해신의 선미
リヴァイアサン・マグナから切り落とした扇状の尾ヒレ,리바이어선 마그나에게서 잘라낸 부채꼴 꼬리 지느러미
ユグドラシルのアニマ,유그드라실의 아니마
ユグドラシルの力の結晶,유그드라실의 힘이 담긴 결정
ユグドラシルのマグナアニマ,유그드라실의 마그나 아니마
ユグドラシルの真の力の結晶,유그드라실의 진정한 힘이 담긴 결정
創樹の花蕾,상처입은 나무의 꽃봉오리
ユグドラシル・マグナから零れ落ちた蕾のような飾り,유그드라실 마그나에게서 떨어진 꽃봉오리 같은 장식
シュヴァリエのアニマ,슈발리에의 아니마
シュヴァリエの力の結晶,슈발리에의 힘이 담긴 결정
シュヴァリエのマグナアニマ,슈발리에의 마그나 아니마
シュヴァリエの真の力の結晶,슈발리에의 진정한 힘이 담긴 결정
プライマルビット,프라이멀 비트
活動を停止したシュヴァリエのビット,활동을 멈춘 슈발리에의 비트
セレストのアニマ,세레스트의 아니마
セレストの力の結晶,세레스트의 힘이 담긴 결정
セレストのマグナアニマ,세레스트의 마그나 아니마
セレストの真の力の結晶,세레스트의 진정한 힘이 담긴 결정
黒霧の結晶,검은 안개의 결정
セレスト・マグナが放っている黒い霧が凝固して結晶化したもの,세레스트 마그나가 흩뿌린 검은 안개가 응고하여 결정화한 것
ミスラのアニマ,미스라의 아니마
ミスラの力の結晶,미스라의 힘이 담긴 결정
真なる火のアニマ,진정한 불의 아니마
全ての根源たる火の結晶,모든 것의 원초가 되는 불의 결정
真なる水のアニマ,진정한 물의 아니마
全ての根源たる水の結晶,모든 것의 원초가 되는 물의 결정
真なる土のアニマ,진정한 땅의 아니마
全ての根源たる土の結晶,모든 것의 원초가 되는 땅의 결정
真なる風のアニマ,진정한 바람의 아니마
全ての根源たる風の結晶,모든 것의 원초가 되는 바람의 결정
真なる光のアニマ,진정한 빛의 아니마
全ての根源たる光の結晶,모든 것의 원초가 되는 빛의 결정
真なる闇のアニマ,진정한 어둠의 아니마
全ての根源たる闇の結晶,모든 것의 원초가 되는 어둠의 결정
マグナ・フラグメント,마그나 플래그먼트
空の彼方を映したような、星の獣が持つ秘められし力の欠片,"하늘의 저편을 비추는 것 같이 보이는, 별의 짐승에게 감춰진 힘의 조각"
アルファ・アニマ,알파 아니마
原初の力の結晶,원초의 힘이 담긴 결정
オメガ・アニマ,오메가 아니마
終焉の力の結晶,종언의 힘이 담긴 결정
星の砂,별의 모래
一粒一粒が輝きを放つ不思議な砂,한알 한알이 빛을 발하는 신비한 모래
バハムートの角,바하무트의 뿔
バハムートの頭部の角<br>大いなる力を秘める,바하무트의 머리 부분의 뿔<br>큰 힘을 숨기고 있다
バハムートの紫電角,바하무트의 자전각
紫電を纏う、漆黒のバハムートの角<br>混沌を齎す力を秘める,"자줏빛 전기가 감도는, 칠흑의 바하무트의 뿔<br>혼돈을 가져오는 힘을 숨기고 있다."
赤星の輝き,적성의 광채
閉じ込めた闇の中に数多の光が煌めく、美しい赤の硝子玉,갇힌 어둠 속에서 수많은 빛이 반짝이는. 아름다운 붉은 유리구슬
青星の輝き,청성의 광채
閉じ込めた闇の中に数多の光が煌めく、美しい青の硝子玉,갇힌 어둠 속에서 수많은 빛이 반짝이는. 아름다운 푸른 유리구슬
黄星の輝き,황성의 광채
閉じ込めた闇の中に数多の光が煌めく、美しい黄の硝子玉,갇힌 어둠 속에서 수많은 빛이 반짝이는. 아름다운 노란 유리구슬
緑星の輝き,녹성의 광채
閉じ込めた闇の中に数多の光が煌めく、美しい緑の硝子玉,갇힌 어둠 속에서 수많은 빛이 반짝이는. 아름다운 녹색 유리구슬
白星の輝き,백성의 광채
閉じ込めた闇の中に数多の光が煌めく、美しい白の硝子玉,갇힌 어둠 속에서 수많은 빛이 반짝이는. 아름다운 하얀 유리구슬
黒星の輝き,흑성의 광채
閉じ込めた闇の中に数多の光が煌めく、美しい黒の硝子玉,갇힌 어둠 속에서 수많은 빛이 반짝이는. 아름다운 검은 유리구슬
銀天の輝き,은천의 광채
閉じ込めた闇の中に数多の光が煌めく、美しい銀の硝子玉,갇힌 어둠 속에서 수많은 빛이 반짝이는. 아름다운 은색 유리구슬
火のプシュケー,불의 프시케
美しい香器から立ち昇る、火の力の本質となる息吹,"아름다운 향그릇에서 솟아오르는, 불의 힘의 본질적인 숨결 "
水のプシュケー,물의 프시케
美しい香器から立ち昇る、水の力の本質となる息吹,"아름다운 향그릇에서 솟아오르는, 물의 힘의 본질적인 숨결 "
土のプシュケー,땅의 프시케
美しい香器から立ち昇る、土の力の本質となる息吹,"아름다운 향그릇에서 솟아오르는, 땅의 힘의 본질적인 숨결 "
風のプシュケー,바람의 프시케
美しい香器から立ち昇る、風の力の本質となる息吹,"아름다운 향그릇에서 솟아오르는, 바람의 힘의 본질적인 숨결"
光のプシュケー,빛의 프시케
美しい香器から立ち昇る、光の力の本質となる息吹,"아름다운 향그릇에서 솟아오르는, 빛의 힘의 본질적인 숨결"
闇のプシュケー,어둠의 프시케
美しい香器から立ち昇る、闇の力の本質となる息吹,"아름다운 향그릇에서 솟아오르는, 어둠의 힘의 본질적인 숨결 "
フラム＝グラスのアニマ,프람=그라스의 아니마
フラム＝グラスの力の結晶,프람=그라스의 힘이 담긴 결정
フラム＝グラスのマグナアニマ,프람=그라스의 마그나 아니마
フラム＝グラスの真の力の結晶,프람=그라스의 진정한 힘이 담긴 결정
マキュラ・マリウスのアニマ,마큐라・마리우스의 아니마
マキュラ・マリウスの力の結晶,마큐라・마리우스의 힘이 담긴 결정
マキュラ・マリウスのマグナアニマ,마큐라・마리우스의 마그나 아니마
マキュラ・マリウスの真の力の結晶,마큐라・마리우스의 진정한 힘이 담긴 결정
メドゥーサのアニマ,메두사의 아니마
メドゥーサの力の結晶,메두사의 힘이 담긴 결정
メドゥーサのマグナアニマ,메두사의 마그나 아니마
メドゥーサの真の力の結晶,메두사의 진정한 힘이 담긴 결정
ナタクのアニマ,나타쿠의 아니마
ナタクの力の結晶,나타쿠의 힘이 담긴 결정
ナタクのマグナアニマ,나타쿠의 마그나 아니마
ナタクの真の力の結晶,나타쿠의 진정한 힘이 담긴 결정
アポロンのアニマ,아폴론의 아니마
アポロンの力の結晶,아폴론의 힘이 담긴 결정
アポロンのマグナアニマ,아폴론의 마그나 아니마
アポロンの真の力の結晶,아폴론의 진정한 힘이 담긴 결정
オリヴィエのアニマ,올리비에의 아니마
Dエンジェル・オリヴィエの力の結晶,D엔젤 올리비에의 힘이 담긴 결정
オリヴィエのマグナアニマ,올리비에의 마그나 아니마
Dエンジェル・オリヴィエの真の力の結晶,D엔젤 올리비에의 진정한 힘이 담긴 결정
白き魂,하얀 영혼
かすかにゆらめく、白い炎,희미하게 일렁이는 하얀 불꽃
黒き魂,검은 영혼
かすかにゆらめく、黒い炎,희미하게 일렁이는 검은 불꽃
調停の明星,조정의 샛별
神々しい光を纏う白い小石,거룩한 빛을 감싼 작고 하얀돌
蒼の羽根,푸른 날개깃
調停の翼から舞い落ちた蒼色の羽根,조정의 날개에서 빠진 푸른색 깃털
万象の蒼角,만상의 창각
調停の翼が誇る蒼の輝きをたたえる角,조정의 날개가 자랑하는 푸른 빛을 내뿜는 뿔
蒼翠の結晶,창취의 결정
調停の力を秘めた秩序をもたらす結晶,조정의 힘을 지닌 질서를 가져오는 결정
ミカエルのアニマ,미카엘의 아니마
ミカエルの力の結晶,미카엘의 힘이 담긴 결정
ガブリエルのアニマ,가브리엘의 아니마
ガブリエルの力の結晶,가브리엘의 힘이 담긴 결정
ウリエルのアニマ,우리엘의 아니마
ウリエルの力の結晶,우리엘의 힘이 담긴 결정
ラファエルのアニマ,라파엘의 아니마
ラファエルの力の結晶,라파엘의 힘이 담긴 결정
アテナのアニマ,아테나의 아니마
アテナの力の結晶,아테나의 힘이 담긴 결정
アテナのマグナアニマ,아테나의 마그나 아니마
アテナの真の力の結晶,아테나의 진정한 힘이 담긴 결정
グラニのアニマ,그라니의 아니마
グラニの力の結晶,그라니의 힘이 담긴 결정
グラニのマグナアニマ,그라니의 마그나 아니마
グラニの真の力の結晶,그라니의 진정한 힘이 담긴 결정
バアルのアニマ,바알의 아니마
バアルの力の結晶,바알의 힘이 담긴 결정
バアルのマグナアニマ,바알의 마그나 아니마
バアルの真の力の結晶,바알의 진정한 힘이 담긴 결정
ガルーダのアニマ,가루다의 아니마
ガルーダの力の結晶,가루다의 힘이 담긴 결정
ガルーダのマグナアニマ,가루다의 마그나 아니마
ガルーダの真の力の結晶,가루다의 진정한 힘이 담긴 결정
オーディンのアニマ,오딘의 아니마
オーディンの力の結晶,오딘의 힘이 담긴 결정
オーディンのマグナアニマ,오딘의 마그나 아니마
オーディンの真の力の結晶,오딘의 진정한 힘이 담긴 결정
リッチのアニマ,리치의 아니마
リッチの力の結晶,리치의 힘이 담긴 결정
リッチのマグナアニマ,리치의 마그나 아니마
リッチの真の力の結晶,리치의 진정한 힘이 담긴 결정
ローズクリスタルの欠片,로즈 크리스탈 파편
薔薇の花びらのような形状をした真紅に透き通る欠片,장미 꽃잎처럼 생긴 진홍색 조각
ローズクリスタル,로즈 크리스탈
薔薇の花のような形状をした真紅に透き通る結晶,장미꽃 같은 모양의 진홍색 결정체
プロメテウスのアニマ,프로메테우스의 아니마
プロメテウスの力の結晶,프로메테우스의 힘이 담긴 결정
カー・オンのアニマ,카・옹의 아니마
カー・オンの力の結晶,카・옹의 힘이 담긴 결정
ギルガメッシュのアニマ,길가메시의 아니마
ギルガメッシュの力の結晶,길가메시의 힘이 담긴 결정
バイヴカハのアニマ,바이브카하의 아니마
バイヴカハの力の結晶,바이브카하의 힘이 담긴 결정
ヘクトルのアニマ,헥토르의 아니마
ヘクトルの力の結晶,헥토르의 힘이 담긴 결정
アヌビスのアニマ,아누비스의 아니마
アヌビスの力の結晶,이누비스의 힘이 담긴 결정
赤き魂,붉은 영혼
かすかにゆらめく、赤い炎,희미하게 일렁이는 붉은 불꽃
蒼き魂,푸른 영혼
かすかにゆらめく、青い炎,희미하게 일렁이는 푸른 불꽃
プライマル・コア,프라이멀 코어
原初の光を内に湛える結晶,원초의 빛을 담은 결정
星の欠片,별의 조각
星の世界から舞い落ちてきたとされる石片,별의 세계에서 떨어졌다고 여겨지는 돌조각
メテオライト,메테오라이트
この空域には存在しない鉱物を含んだ隕石,이 공역에는 존재하지 않는 광물을 함유한 운석
オメガユニット,오메가 유닛
幾多の賢人より膨大な叡智が籠められた不思議な小片,수많은 현자들보다 방대한 예지를 담은 불가사의한 조각
メテオライトの欠片,메테오라이트의 파편
この空域には存在しない鉱物を含んだ隕石の一部,이 공역에는 존재하지 않는 광물을 함유한 운석의 일부
オメガの器,오메가 칩
幾多の学者より迅速に答えを導き出す不思議な小片,수많은 학자들보다 빨리 답을 도출해내는 불가사의한 조각
シヴァのアニマ,시바의 아니마
シヴァの力の結晶,시바의 힘이 담긴 결정
シヴァのマグナアニマ,시바의 마그나 아니마
シヴァの真の力の結晶,시바의 진정한 힘이 담긴 결정
エウロペのアニマ,에우로페의 아니마
エウロペの力の結晶,에우로페의 힘이 담긴 결정
エウロペのマグナアニマ,에우로페의 마그나 아니마
エウロペの真の力の結晶,에우로페의 진정한 힘이 담긴 결정
ブローディアのアニマ,브로디아의 아니마
ゴッドガード・ブローディアの力の結晶,갓 가드 브로디아의 힘이 담긴 결정
ブローディアのマグナアニマ,브로디아의 마그나 아니마
ゴッドガード・ブローディアの真の力の結晶,갓 가드 브로디아의 진정한 힘이 담긴 결정
グリームニルのアニマ,그림니르의 아니마
グリームニルの力の結晶,그림니르의 힘이 담긴 결정
グリームニルのマグナアニマ,그림니르의 마그나 아니마
グリームニルの真の力の結晶,그림니르의 진정한 힘이 담긴 결정
メタトロンのアニマ,메타트론의 아니마
メタトロンの力の結晶,메타트론의 힘이 담긴 결정
メタトロンのマグナアニマ,메타트론의 마그나 아니마
メタトロンの真の力の結晶,메타트론의 진정한 힘이 담긴 결정
アバターのアニマ,아바타의 아니마
アバターの力の結晶,아바타의 힘이 담긴 결정
アバターのマグナアニマ,아바타의 마그나 아니마
アバターの真の力の結晶,아바타의 진정한 힘이 담긴 결정
火のクリスタル,불의 크리스탈
火の元素が究極まで圧縮されて生まれた結晶体,불의 원소가 궁극까지 압축되어 태어난 결정체
水のクリスタル,물의 크리스탈
水の元素が究極まで圧縮されて生まれた結晶体,물의 원소가 궁극까지 압축되어 태어난 결정체
土のクリスタル,땅의 크리스탈
土の元素が究極まで圧縮されて生まれた結晶体,땅의 원소가 궁극까지 압축되어 태어난 결정체
風のクリスタル,바람의 크리스탈
風の元素が究極まで圧縮されて生まれた結晶体,바람의 원소가 궁극까지 압축되어 태어난 결정체
光のクリスタル,빛의 크리스탈
光の元素が究極まで圧縮されて生まれた結晶体,빛의 원소가 궁극까지 압축되어 태어난 결정체
闇のクリスタル,어둠의 크리스탈
闇の元素が究極まで圧縮されて生まれた結晶体,어둠의 원소가 궁극까지 압축되어 태어난 결정체
黄龍のアニマ,황룡의 아니마
黄龍の力の結晶,황룡의 힘이 담긴 결정
黄龍のマグナアニマ,황룡의 마그나 아니마
黄龍の真の力の結晶,황룡의 진정한 힘이 담긴 결정
黒麒麟のアニマ,흑기린의 아니마
黒麒麟の力の結晶,흑기린의 힘이 담긴 결정
黒麒麟のマグナアニマ,흑기린의 마그나 아니마
黒麒麟の真の力の結晶,흑기린의 진정한 힘이 담긴 결정
ティアマト・マリスのアニマ,티아마트 마리스의 아니마
ティアマト・マリスの力の結晶,티아마트 마리스의 힘이 담긴 결정
リヴァイアサン・マリスのアニマ,리바이어선 마리스의 아니마
リヴァイアサン・マリスの力の結晶,리바이어선 마리스의 힘이 담긴 결정
マリス・フラグメント,마리스 플래그먼트
純粋なる悪意を内に秘めた禍々しい結晶,순수한 악의를 내포한 불길한 결정
虚ろなる鍵,공허한 열쇠
過去から未来に至るまであらゆる事象に干渉できると信じられている不思議な鍵,과거에서 미래에 이르기까지 모든 일에 간섭할 수 있다고 여겨지는 불가사의한 열쇠
ジェネシス・フラグメント,제네시스 플래그먼트
星の獣が持つ力を内に秘めた神々しい結晶,별의 짐승이 지닌 힘을 내포한 성스러운 결정체
シャード・オブ・ダークネス,섀도우 오브 다크니스
全てを尽くした激戦の中で、ルシファーの躰から零れ落ちた漆黒の物質,"모든 힘을 쏟아낸 격전 중에, 루시퍼의 육체에서 떨어져 나온 칠흑의 물질."
ダークネス・マテリアル,다크니스 마테리얼
黒い物質の中から暗くて凄まじい力を感じる,검은 물질 안에서 어둡고 종잡을 수 없는 힘이 느껴진다.
終末の暗晶,종말의 암정
